fichier	corpus	loc	utt	token	age	annee	nbx	sumx	nbsx	sumsx	FUT	COND	SUBJ	IMPF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	ya+++qu	v+inf	dit+qu	plus+qu	proobj	x
./conllu_clan/Enfants_Long_lucille_cha_5.0-5.6_lucille1_cha.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	141	10	5;00.14	5	10	5.000000	1	8.000000	0	0	0	5	5	15	1	0	1	0	1	1	3	0	3	2	0	1	x
./conllu_clan/Enfants_Long_lucille_cha_5.0-5.6_lucille2_cha.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	124	10	5;05.17	5.41667	10	4.700000	0	0	0	0	0	2	0	6	1	0	5	0	0	0	0	0	3	0	0	4	x
./conllu_clan/Enfants_Long_lucille_cha_5.0-5.6_lucille3_cha.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	176	11	5;06.21	5.5	11	5.090909	1	8.000000	0	0	0	3	2	10	0	0	3	0	0	1	0	0	0	0	0	0	x
./conllu_clan/Enfants_Long_maelle_rou_5.6-5.11_maelle1_rou.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	120	10	5;06.18	5.5	10	4.600000	0	0	0	0	0	2	0	9	0	0	0	0	0	0	0	0	0	0	0	2	x
./conllu_clan/Enfants_Long_maelle_rou_5.6-5.11_maelle2_rou.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	176	10	5;10.21	5.83333	10	5.900000	2	7.500000	0	0	0	3	6	23	2	0	0	2	1	1	0	0	1	1	0	3	x
./conllu_clan/Enfants_Long_maelle_rou_5.6-5.11_maelle3_rou.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	161	10	5;11.15	5.91667	10	5.600000	2	7.500000	0	0	0	2	3	9	0	0	3	0	0	1	0	0	1	0	0	1	x
./conllu_clan/Enfants_Long_marie_gue_4.10-5.0_marie1_gue.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	144	10	4;10.10	4.83333	10	6.100000	1	11.000000	0	0	0	5	3	13	3	0	0	0	0	1	0	0	0	0	0	8	x
./conllu_clan/Enfants_Long_marie_gue_4.10-5.0_marie2_gue.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	138	10	5;00.13	5	10	5.400000	1	8.000000	0	0	0	2	1	10	0	0	1	0	0	0	0	0	0	0	0	1	x
./conllu_clan/Enfants_Long_marie_gue_4.10-5.0_marie3_gue.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	155	10	5;02.15	5.16667	10	5.400000	0	0	0	0	0	1	1	12	0	0	0	0	1	1	0	0	0	0	0	5	x
./conllu_clan/Enfants_Long_sarah_can_4.9-5.8_sarah10_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	127	10	5;04.14	5.33333	10	5.800000	3	8.000000	0	0	0	0	1	18	0	0	1	1	0	1	3	0	0	0	0	2	x
./conllu_clan/Enfants_Long_sarah_can_4.9-5.8_sarah11_can.tei_corpo2.pl-CHI.tei_corpo-gsd.conllu.cex 	 LONG 	 CHI 	120	10	5;07.13	5.58333	10	5.400000	1	9.000000	0	0	0	2	0	12	0	0	2	1	1	0	2	0	1	2	0	3	x
