id_text;document;age_texte_age_min_text;age_texte_age_max_text;age_texte_age_moyen_text
190;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_5.43.txt;4.63;4.63;4.63
191;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_5.87.txt;4.70;4.70;4.70
192;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_6.45.txt;4.65;4.65;4.65
193;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Madeleine_6.99.txt;4.71;4.71;4.71
194;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Theophile_1.33.txt;2.58;2.58;2.58
195;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Theophile_2.05.txt;2.71;2.71;2.71
196;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Theophile_4.94.txt;4.29;4.29;4.29
197;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Theophile_5.36.txt;4.45;4.45;4.45
198;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Theophile_5.82.txt;4.37;4.37;4.37
199;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Theophile_6.32.txt;4.51;4.51;4.51
200;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_1.02.txt;2.64;2.64;2.64
201;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_1.12.txt;2.54;2.54;2.54
202;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_1.19.txt;2.62;2.62;2.62
203;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_1.25.txt;2.58;2.58;2.58
204;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_1.43.txt;2.63;2.63;2.63
205;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_1.52.txt;2.60;2.60;2.60
206;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_1.58.txt;2.81;2.81;2.81
207;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_1.69.txt;2.69;2.69;2.69
208;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_1.76.txt;2.78;2.78;2.78
209;/Users/cp/brainstorm/evalang/evalang-public/colaje/rawtextchi/chi_Théophile_1.83.txt;2.65;2.65;2.65
