fichier	dossier	loc	age	utt	token	FUT	CONJ	SUBJ	INF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	cest+que	ya+++qu	ya+qu	v+inf	dit+qu	plus+qu	proobj
../tcof/chi-trans-metaok/leo1_rom.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	85	1756	3;08.11	2	1	0	3	10	71	9	2	11	2	4	3	9	3	2	0	0	0	0	24	
../tcof/chi-trans-metaok/leo1_roy.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	3	307	3;10.23	0	0	0	19	1	29	2	0	0	3	1	0	0	0	0	0	0	0	0	0	
../tcof/chi-trans-metaok/lilou1_hua.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	18	749	5;04.24	2	1	0	1	2	42	8	0	4	1	1	2	11	1	0	0	0	0	0	5	
../tcof/chi-trans-metaok/lisa1_rhe.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	13	297	2;01.09	1	0	0	0	2	5	1	0	1	0	0	0	2	1	0	0	0	0	0	2	
../tcof/chi-trans-metaok/loris1_peu.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	54	685	3;03.17	2	0	0	5	6	33	2	0	6	0	0	4	7	4	0	0	0	0	0	6	
../tcof/chi-trans-metaok/lorraine1_spo.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	4	559	4;	0	0	0	2	2	28	2	0	1	1	0	4	1	1	0	0	0	0	0	4	
../tcof/chi-trans-metaok/lou1_tho.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	46	1219	4;02.12	0	0	0	0	2	24	7	0	0	0	1	0	0	0	0	0	0	0	0	1	
../tcof/chi-trans-metaok/louis1_cas.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	8	651	4;09.17	2	0	0	4	4	46	5	0	1	1	0	2	3	0	0	0	0	0	0	9	
../tcof/chi-trans-metaok/louis1_lho.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	28	726	4;04.24	2	1	0	3	4	35	5	0	2	0	2	3	12	8	0	0	0	4	0	17	
../tcof/chi-trans-metaok/louis1_tro.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	46	1219	2;09.17	0	0	0	0	2	24	7	0	0	0	1	0	0	0	0	0	0	0	0	1	
../tcof/chi-trans-metaok/louis1_utn.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	5	254	4;08.11	0	0	0	2	7	21	2	1	0	0	0	1	2	0	0	0	0	0	0	1	
../tcof/chi-trans-metaok/louis2_utn.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	19	619	4;08.11	0	0	0	3	15	33	15	0	5	0	0	0	17	10	0	0	0	1	2	0	
../tcof/chi-trans-metaok/louise1_geo.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	2	943	4;01.05	1	0	0	4	9	65	1	0	2	0	2	3	6	0	0	0	0	0	1	13	
../tcof/chi-trans-metaok/louise1_sch.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	4	324	2;03.17	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	
../tcof/chi-trans-metaok/luana1_alb.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	20	686	4;01.05	1	0	0	18	8	34	3	0	0	0	3	0	6	4	0	0	0	2	0	8	
../tcof/chi-trans-metaok/luca1_bar.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	24	2729	5;04.24	2	4	0	29	9	151	13	0	7	4	14	20	11	6	3	1	0	2	0	12	
../tcof/chi-trans-metaok/lucie1_led.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	18	975	4;03.17	1	1	0	3	4	38	5	0	4	2	1	5	5	0	0	0	0	0	0	9	
../tcof/chi-trans-metaok/lucie1_vic.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	59	3774	3;07.05	25	10	0	90	27	182	17	0	13	0	3	2	18	7	2	0	0	10	1	27	
../tcof/chi-trans-metaok/lucile1_flo.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	9	475	3;	1	0	0	0	2	28	2	0	1	1	0	0	6	5	1	0	0	0	0	4	
../tcof/chi-trans-metaok/maelle1_pap.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	28	3340	5;04.24	6	8	0	37	8	313	14	0	10	2	5	28	12	4	6	6	0	9	6	44	
../tcof/chi-trans-metaok/manon1_ern.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	8	1747	4;07.05	15	4	0	8	10	147	7	0	13	3	0	0	13	1	1	1	0	6	2	12	
../tcof/chi-trans-metaok/manon1_kho.tei_corpo2.cpn.cex 	 TRANS 	 CHI 	12	828	5;03.17	1	0	0	3	11	52	4	0	1	2	4	6	6	5	1	0	0	1	1	2	
